Dataset,0.0,0.01,0.02,0.06,0.1
adult,0.85,0.82,0.82,0.82,0.83
ausc,0.92,0.88,0.88,0.88,0.88
bank,0.89,0.89,0.89,0.88,0.88
bc,0.97,0.93,0.92,0.91,0.92
bch,0.35,0.27,0.24,0.22,0.21
bcw,0.98,0.98,0.98,0.98,0.98
ca,0.92,0.88,0.88,0.88,0.87
car,0.93,0.86,0.85,0.84,0.82
cmc,0.70,0.57,0.57,0.55,0.55
ctg,0.87,0.79,0.77,0.75,0.74
cvf,0.81,0.76,0.76,0.76,0.76
eb,0.62,0.54,0.54,0.53,0.53
eye,0.67,0.60,0.60,0.59,0.58
ger,0.96,0.95,0.95,0.94,0.95
gls,0.89,0.84,0.82,0.80,0.78
hep,0.93,0.90,0.90,0.89,0.89
hrtc,0.86,0.75,0.72,0.70,0.69
hrts,0.92,0.88,0.88,0.87,0.87
ion,0.96,0.92,0.91,0.90,0.90
irs,0.98,0.98,0.98,0.98,0.98
jvow,0.90,0.73,0.70,0.68,0.67
krkopt,0.58,0.40,0.39,0.37,0.36
letter,0.74,0.57,0.55,0.52,0.50
liv,0.83,0.73,0.73,0.71,0.72
lym,0.95,0.93,0.92,0.90,0.89
magic,0.85,0.81,0.82,0.82,0.80
mushroom,1.00,0.97,0.97,0.95,0.95
nurse,0.92,0.89,0.88,0.86,0.86
page,0.97,0.96,0.95,0.95,0.95
pen,0.98,0.93,0.92,0.90,0.89
pid,0.87,0.79,0.79,0.78,0.78
psd,0.98,0.97,0.97,0.97,0.97
sb,0.94,0.93,0.93,0.93,0.93
seg,0.97,0.93,0.92,0.90,0.90
shuttle,1.00,1.00,0.99,0.99,0.99
sick,0.97,0.95,0.95,0.94,0.94
son,0.94,0.86,0.84,0.80,0.81
spect,0.91,0.87,0.87,0.87,0.87
spf,0.82,0.69,0.68,0.66,0.65
thy,0.96,0.95,0.96,0.95,0.95
ttt,0.87,0.74,0.74,0.72,0.72
veh,0.85,0.68,0.65,0.63,0.62
vene,0.95,0.94,0.93,0.93,0.93
vote,0.98,0.95,0.96,0.96,0.95
vow,0.93,0.76,0.71,0.64,0.61
w21,0.90,0.85,0.85,0.84,0.84
w40,0.90,0.82,0.81,0.80,0.80
wfr,0.88,0.75,0.73,0.70,0.69
wilt,0.95,0.95,0.95,0.95,0.95
wine,0.67,0.57,0.56,0.55,0.55
zoo,0.98,0.98,0.98,0.98,0.98
