Dataset,0.0,0.01,0.02,0.06,0.1
adult,273.88,3.04,2.80,2.12,2.00
ausc,31.88,3.76,3.00,2.48,2.04
bank,172.08,2.12,2.00,2.00,2.00
bc,40.76,6.88,5.08,3.92,3.56
bch,877.36,283.84,192.60,133.56,109.88
bcw,9.72,2.88,2.04,2.00,2.00
ca,32.64,4.00,3.12,2.60,2.12
car,119.04,9.84,7.60,5.80,5.04
cmc,179.76,8.28,6.48,4.72,4.28
ctg,262.04,26.92,21.84,15.80,13.96
cvf,558.40,13.04,10.32,8.60,7.92
eb,1419.56,113.60,85.24,59.00,51.36
eye,131.64,4.20,3.36,2.84,2.08
ger,45.28,3.44,3.16,2.76,2.52
gls,44.00,22.24,16.12,12.32,10.68
hep,14.96,4.72,4.00,3.00,2.76
hrtc,68.12,17.12,12.44,8.20,7.52
hrts,24.16,4.64,3.84,3.00,2.68
ion,31.32,5.36,4.16,3.08,3.04
irs,8.56,5.28,4.24,3.88,3.28
jvow,519.64,32.72,25.56,17.88,15.72
krkopt,1973.12,63.84,48.36,32.96,28.96
letter,1445.68,105.88,80.84,55.32,48.40
liv,46.32,6.08,4.36,3.16,3.00
lym,21.68,11.00,8.04,5.92,5.28
magic,197.16,3.44,3.00,2.84,2.24
mushroom,49.00,4.72,3.96,2.92,3.00
nurse,451.76,10.04,8.60,6.88,6.32
page,53.84,7.44,6.24,5.72,5.20
pen,355.12,25.72,21.44,16.76,14.88
pid,62.48,4.72,3.48,2.84,2.28
psd,31.00,3.56,2.92,2.48,2.20
sb,17.32,2.16,2.00,2.00,2.00
seg,120.56,17.32,14.48,11.28,10.08
shuttle,62.84,8.48,7.76,7.12,7.08
sick,31.92,2.48,2.40,2.16,2.04
son,32.04,6.48,5.12,3.44,3.00
spect,19.32,4.16,3.24,2.68,2.08
spf,233.84,20.44,15.96,11.28,10.12
thy,34.80,5.00,4.48,4.00,4.00
ttt,104.00,5.32,4.12,3.00,2.96
veh,149.28,13.76,10.48,7.64,6.88
vene,15.84,5.44,4.60,3.96,3.92
vote,23.32,4.08,3.08,2.64,2.04
vow,214.12,48.00,36.64,25.08,21.64
w21,178.08,5.84,5.04,4.00,4.00
w40,227.12,6.36,5.44,4.24,4.00
wfr,350.12,11.76,9.48,6.92,5.88
wilt,8.60,2.00,2.00,2.00,2.00
wine,340.12,16.04,12.52,9.40,8.68
zoo,15.64,9.88,9.16,9.40,8.76
